officeCode,officeRegion,officeCountry,officeState,officeCity,employeeFullName,jobTitle,lineManager,customerName,customerCountry,customerState,customerCity,creditLimit,orderNumber,orderDate,requiredDate,shippedDate,orderStatus,productName,productLine,productScale,productVendor,quantityInStock,quantityOrdered,COGS,invoicingPrice,MSRP
4,EMEA,France,NULL,Paris,"Martin Gerard","Sales Rep",1102,"Enaco Distributors",Spain,NULL,Barcelona,60300,10197,2003-11-26,2003-12-02,2003-12-01,Shipped,"1940 Ford Delivery Sedan","Vintage Cars",1:24,"Carousel DieCast Legends",6621,22,48.64,67.93,83.86
4,EMEA,France,NULL,Paris,"Martin Gerard","Sales Rep",1102,"Enaco Distributors",Spain,NULL,Barcelona,60300,10197,2003-11-26,2003-12-02,2003-12-01,Shipped,"The Schooner Bluenose",Ships,1:700,"Autoart Studio Design",1897,23,34,60,66.67
4,EMEA,France,NULL,Paris,"Martin Gerard","Sales Rep",1102,"Enaco Distributors",Spain,NULL,Barcelona,60300,10197,2003-11-26,2003-12-02,2003-12-01,Shipped,"HMS Bounty",Ships,1:700,"Unimax Art Galleries",3501,24,39.83,78.75,90.52
4,EMEA,France,NULL,Paris,"Martin Gerard","Sales Rep",1102,"Enaco Distributors",Spain,NULL,Barcelona,60300,10197,2003-11-26,2003-12-02,2003-12-01,Shipped,"The USS Constitution Ship",Ships,1:700,"Red Start Diecast",7083,50,33.97,66.5,72.28
4,EMEA,France,NULL,Paris,"Martin Gerard","Sales Rep",1102,"Enaco Distributors",Spain,NULL,Barcelona,60300,10197,2003-11-26,2003-12-02,2003-12-01,Shipped,"The Titanic",Ships,1:700,"Carousel DieCast Legends",1956,27,51.09,100.17,100.17
4,EMEA,France,NULL,Paris,"Martin Gerard","Sales Rep",1102,"Enaco Distributors",Spain,NULL,Barcelona,60300,10197,2003-11-26,2003-12-02,2003-12-01,Shipped,"The Queen Mary",Ships,1:700,"Welly Diecast Productions",5088,35,53.63,88.39,99.31
4,EMEA,France,NULL,Paris,"Martin Gerard","Sales Rep",1102,"Enaco Distributors",Spain,NULL,Barcelona,60300,10197,2003-11-26,2003-12-02,2003-12-01,Shipped,"Boeing X-32A JSF",Planes,1:72,"Motor City Art Classics",4857,29,32.77,39.73,49.66
4,EMEA,France,NULL,Paris,"Martin Gerard","Sales Rep",1102,"Enaco Distributors",Spain,NULL,Barcelona,60300,10197,2003-11-26,2003-12-02,2003-12-01,Shipped,"Pont Yacht",Ships,1:72,"Unimax Art Galleries",414,42,33.3,48.59,54.6
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10198,2003-11-27,2003-12-06,2003-12-03,Shipped,"1980s Black Hawk Helicopter",Planes,1:18,"Red Start Diecast",5330,42,77.27,149.81,157.69
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10198,2003-11-27,2003-12-06,2003-12-03,Shipped,"1900s Vintage Bi-Plane",Planes,1:24,"Autoart Studio Design",5942,48,34.25,60.97,68.51
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10198,2003-11-27,2003-12-06,2003-12-03,Shipped,"1937 Horch 930V Limousine","Vintage Cars",1:24,"Autoart Studio Design",2902,27,26.3,61.81,65.75
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10198,2003-11-27,2003-12-06,2003-12-03,Shipped,"Corsair F4U ( Bird Cage)",Planes,1:24,"Second Gear Diecast",6812,43,29.34,65.51,68.24
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10198,2003-11-27,2003-12-06,2003-12-03,Shipped,"America West Airlines B757-200",Planes,1:700,"Motor City Art Classics",9653,42,68.8,94.73,99.72
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10198,2003-11-27,2003-12-06,2003-12-03,Shipped,"American Airlines: MD-11S",Planes,1:700,"Second Gear Diecast",8820,40,36.27,74.03,74.03
1,NA,USA,CA,"San Francisco","Leslie Thompson","Sales Rep",1143,"West Coast Collectables Co.",USA,CA,Burbank,55400,10199,2003-12-01,2003-12-10,2003-12-06,Shipped,"1930 Buick Marquette Phaeton","Vintage Cars",1:50,"Studio M Art Models",7062,29,27.06,37.97,43.64
1,NA,USA,CA,"San Francisco","Leslie Thompson","Sales Rep",1143,"West Coast Collectables Co.",USA,CA,Burbank,55400,10199,2003-12-01,2003-12-10,2003-12-06,Shipped,"American Airlines: B767-300",Planes,1:700,"Min Lin Diecast",5841,48,51.15,81.29,91.34
1,NA,USA,CA,"San Francisco","Leslie Thompson","Sales Rep",1143,"West Coast Collectables Co.",USA,CA,Burbank,55400,10199,2003-12-01,2003-12-10,2003-12-06,Shipped,"F/A 18 Hornet 1/72",Planes,1:72,"Motor City Art Classics",551,38,54.4,70.4,80
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"King Kong Collectables, Co.","Hong Kong",NULL,"Central Hong Kong",58600,10200,2003-12-01,2003-12-09,2003-12-06,Shipped,"P-51-D Mustang",Planes,1:72,"Gearbox Collectibles",992,28,49,74.34,84.48
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"King Kong Collectables, Co.","Hong Kong",NULL,"Central Hong Kong",58600,10200,2003-12-01,2003-12-09,2003-12-06,Shipped,"1928 British Royal Navy Airplane",Planes,1:24,"Classic Metal Creations",3627,33,66.74,99.57,109.42
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"King Kong Collectables, Co.","Hong Kong",NULL,"Central Hong Kong",58600,10200,2003-12-01,2003-12-09,2003-12-06,Shipped,"1900s Vintage Tri-Plane",Planes,1:24,"Unimax Art Galleries",2756,39,36.23,70.28,72.45
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"King Kong Collectables, Co.","Hong Kong",NULL,"Central Hong Kong",58600,10200,2003-12-01,2003-12-09,2003-12-06,Shipped,"1997 BMW F650 ST",Motorcycles,1:32,"Exoto Designs",178,35,66.92,80.91,99.89
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"King Kong Collectables, Co.","Hong Kong",NULL,"Central Hong Kong",58600,10200,2003-12-01,2003-12-09,2003-12-06,Shipped,"1928 Ford Phaeton Deluxe","Vintage Cars",1:32,"Highway 66 Mini Classics",136,27,33.02,65.35,68.79
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"King Kong Collectables, Co.","Hong Kong",NULL,"Central Hong Kong",58600,10200,2003-12-01,2003-12-09,2003-12-06,Shipped,"ATA: B757-300",Planes,1:700,"Highway 66 Mini Classics",7106,39,59.33,115.09,118.65
1,NA,USA,CA,"San Francisco","Leslie Jennings","Sales Rep",1143,"Mini Wheels Co.",USA,CA,"San Francisco",64600,10201,2003-12-01,2003-12-11,2003-12-02,Shipped,"1969 Harley Davidson Ultimate Chopper",Motorcycles,1:10,"Min Lin Diecast",7933,22,48.81,82.3,95.7
1,NA,USA,CA,"San Francisco","Leslie Jennings","Sales Rep",1143,"Mini Wheels Co.",USA,CA,"San Francisco",64600,10201,2003-12-01,2003-12-11,2003-12-02,Shipped,"1996 Moto Guzzi 1100i",Motorcycles,1:10,"Highway 66 Mini Classics",6625,24,68.99,116.56,118.94
1,NA,USA,CA,"San Francisco","Leslie Jennings","Sales Rep",1143,"Mini Wheels Co.",USA,CA,"San Francisco",64600,10201,2003-12-01,2003-12-11,2003-12-02,Shipped,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,1:10,"Red Start Diecast",5582,49,91.02,191.72,193.66
1,NA,USA,CA,"San Francisco","Leslie Jennings","Sales Rep",1143,"Mini Wheels Co.",USA,CA,"San Francisco",64600,10201,2003-12-01,2003-12-11,2003-12-02,Shipped,"2002 Suzuki XREO",Motorcycles,1:12,"Unimax Art Galleries",9997,25,66.27,126.52,150.62
1,NA,USA,CA,"San Francisco","Leslie Jennings","Sales Rep",1143,"Mini Wheels Co.",USA,CA,"San Francisco",64600,10201,2003-12-01,2003-12-11,2003-12-02,Shipped,"1936 Harley Davidson El Knucklehead",Motorcycles,1:18,"Welly Diecast Productions",4357,30,24.23,48.46,60.57
1,NA,USA,CA,"San Francisco","Leslie Jennings","Sales Rep",1143,"Mini Wheels Co.",USA,CA,"San Francisco",64600,10201,2003-12-01,2003-12-11,2003-12-02,Shipped,"1997 BMW R 1100 S",Motorcycles,1:24,"Autoart Studio Design",7003,39,60.86,93.54,112.7
1,NA,USA,CA,"San Francisco","Leslie Jennings","Sales Rep",1143,"Mini Wheels Co.",USA,CA,"San Francisco",64600,10201,2003-12-01,2003-12-11,2003-12-02,Shipped,"1960 BSA Gold Star DBD34",Motorcycles,1:24,"Highway 66 Mini Classics",15,25,37.32,66.27,76.17
6,APAC,Australia,NULL,Sydney,"Peter Marsh","Sales Rep",1088,GiftsForHim.com,"New Zealand",NULL,Auckland,77700,10202,2003-12-02,2003-12-09,2003-12-06,Shipped,"1957 Vespa GS150",Motorcycles,1:18,"Studio M Art Models",7689,30,32.95,55.33,62.17
6,APAC,Australia,NULL,Sydney,"Peter Marsh","Sales Rep",1088,GiftsForHim.com,"New Zealand",NULL,Auckland,77700,10202,2003-12-02,2003-12-09,2003-12-06,Shipped,"1957 Corvette Convertible","Classic Cars",1:18,"Classic Metal Creations",1249,43,69.93,124.99,148.8
6,APAC,Australia,NULL,Sydney,"Peter Marsh","Sales Rep",1088,GiftsForHim.com,"New Zealand",NULL,Auckland,77700,10202,2003-12-02,2003-12-09,2003-12-06,Shipped,"1982 Ducati 900 Monster",Motorcycles,1:24,"Highway 66 Mini Classics",6840,50,47.1,56.1,69.26
6,APAC,Australia,NULL,Sydney,"Peter Marsh","Sales Rep",1088,GiftsForHim.com,"New Zealand",NULL,Auckland,77700,10202,2003-12-02,2003-12-09,2003-12-06,Shipped,"1961 Chevrolet Impala","Classic Cars",1:18,"Classic Metal Creations",7869,50,32.33,75.18,80.84
6,APAC,Australia,NULL,Sydney,"Peter Marsh","Sales Rep",1088,GiftsForHim.com,"New Zealand",NULL,Auckland,77700,10202,2003-12-02,2003-12-09,2003-12-06,Shipped,"1982 Ducati 996 R",Motorcycles,1:32,"Gearbox Collectibles",9241,27,24.14,33.39,40.23
6,APAC,Australia,NULL,Sydney,"Peter Marsh","Sales Rep",1088,GiftsForHim.com,"New Zealand",NULL,Auckland,77700,10202,2003-12-02,2003-12-09,2003-12-06,Shipped,"1974 Ducati 350 Mk3 Desmo",Motorcycles,1:32,"Second Gear Diecast",3341,31,56.13,81.64,102.05
6,APAC,Australia,NULL,Sydney,"Peter Marsh","Sales Rep",1088,GiftsForHim.com,"New Zealand",NULL,Auckland,77700,10202,2003-12-02,2003-12-09,2003-12-06,Shipped,"2002 Yamaha YZR M1",Motorcycles,1:50,"Autoart Studio Design",600,40,34.17,79.73,81.36
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1968 Ford Mustang","Classic Cars",1:12,"Autoart Studio Design",68,20,95.34,161.49,194.57
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1968 Dodge Charger","Classic Cars",1:12,"Welly Diecast Productions",9123,20,75.16,111.57,117.44
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1970 Plymouth Hemi Cuda","Classic Cars",1:12,"Studio M Art Models",5663,44,31.92,63.84,79.8
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1969 Dodge Charger","Classic Cars",1:12,"Welly Diecast Productions",7323,47,58.73,115.16,115.16
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1948 Porsche 356-A Roadster","Classic Cars",1:18,"Gearbox Collectibles",8826,45,53.9,73.15,77
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1992 Ferrari 360 Spider red","Classic Cars",1:18,"Unimax Art Galleries",8347,48,77.9,157.49,169.34
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1969 Dodge Super Bee","Classic Cars",1:18,"Min Lin Diecast",1917,33,49.05,66.74,80.41
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1976 Ford Gran Torino","Classic Cars",1:18,"Gearbox Collectibles",9127,32,73.49,127.88,146.99
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1982 Lamborghini Diablo","Classic Cars",1:24,"Second Gear Diecast",7723,21,16.24,33.23,37.76
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1971 Alpine Renault 1600s","Classic Cars",1:24,"Welly Diecast Productions",7995,34,38.58,56.94,61.23
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10203,2003-12-02,2003-12-11,2003-12-07,Shipped,"1956 Porsche 356A Coupe","Classic Cars",1:18,"Classic Metal Creations",6600,47,98.3,140.43,140.43
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1993 Mazda RX-7","Classic Cars",1:18,"Highway 66 Mini Classics",3975,42,83.51,114.65,141.54
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1965 Aston Martin DB5","Classic Cars",1:18,"Classic Metal Creations",9042,40,65.96,113.24,124.44
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1917 Grand Touring Sedan","Vintage Cars",1:18,"Welly Diecast Productions",2724,33,86.7,153,170
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1995 Honda Civic","Classic Cars",1:18,"Min Lin Diecast",9772,38,93.89,133.72,142.25
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1911 Ford Town Car","Vintage Cars",1:18,"Motor City Art Classics",540,23,33.3,59.33,60.54
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1932 Model A Ford J-Coupe","Vintage Cars",1:18,"Autoart Studio Design",9354,26,58.48,119.5,127.13
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1999 Indy 500 Monte Carlo SS","Classic Cars",1:18,"Red Start Diecast",8164,27,56.76,106.92,132
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1948 Porsche Type 356 Roadster","Classic Cars",1:18,"Gearbox Collectibles",8990,35,62.16,132.8,141.28
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",1:18,"Exoto Designs",6553,29,43.26,83.75,92.03
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1957 Ford Thunderbird","Classic Cars",1:18,"Studio M Art Models",3209,45,34.21,69.84,71.27
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1970 Chevy Chevelle SS 454","Classic Cars",1:24,"Unimax Art Galleries",1005,20,49.24,69.82,73.49
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1966 Shelby Cobra 427 S/C","Classic Cars",1:24,"Carousel DieCast Legends",8197,45,29.18,46.79,50.31
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1949 Jaguar XK 120","Classic Cars",1:24,"Classic Metal Creations",2350,47,47.25,79.06,90.87
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1952 Citroen-15CV","Classic Cars",1:24,"Exoto Designs",1452,42,72.82,112.74,117.44
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1969 Chevrolet Camaro Z28","Classic Cars",1:24,"Exoto Designs",4695,40,50.51,84.75,85.61
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"2002 Chevy Corvette","Classic Cars",1:24,"Gearbox Collectibles",9446,48,62.11,104.94,107.08
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Muscle Machine Inc",USA,NY,NYC,138500,10204,2003-12-02,2003-12-10,2003-12-04,Shipped,"1936 Mercedes Benz 500k Roadster","Vintage Cars",1:24,"Red Start Diecast",2081,39,21.75,34.88,41.03
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10205,2003-12-03,2003-12-09,2003-12-07,Shipped,"1937 Lincoln Berline","Vintage Cars",1:18,"Motor City Art Classics",8693,36,60.62,98.63,102.74
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10205,2003-12-03,2003-12-09,2003-12-07,Shipped,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",1:18,"Studio M Art Models",8635,48,24.26,45.82,53.91
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10205,2003-12-03,2003-12-09,2003-12-07,Shipped,"1928 Mercedes-Benz SSK","Vintage Cars",1:18,"Gearbox Collectibles",548,40,72.56,138.38,168.75
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10205,2003-12-03,2003-12-09,2003-12-07,Shipped,"1939 Chevrolet Deluxe Coupe","Vintage Cars",1:24,"Motor City Art Classics",7332,32,22.57,27.88,33.19
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10205,2003-12-03,2003-12-09,2003-12-07,Shipped,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",1:24,"Classic Metal Creations",2847,24,20.61,36.74,44.8
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1952 Alpine Renault 1300","Classic Cars",1:10,"Classic Metal Creations",7305,47,98.58,203.59,214.3
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1958 Setra Bus","Trucks and Buses",1:12,"Welly Diecast Productions",1579,28,77.9,109.34,136.67
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1940 Ford Pickup Truck","Trucks and Buses",1:18,"Studio M Art Models",2613,34,58.33,115.5,116.67
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1913 Ford Model T Speedster","Vintage Cars",1:18,"Carousel DieCast Legends",4189,37,60.78,98.27,101.31
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1934 Ford V8 Coupe","Vintage Cars",1:18,"Min Lin Diecast",5649,28,34.35,51.84,62.46
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"18th Century Vintage Horse Carriage","Vintage Cars",1:18,"Red Start Diecast",5992,30,60.74,102.63,104.72
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1917 Maxwell Touring Car","Vintage Cars",1:18,"Exoto Designs",7913,28,57.54,99.21,99.21
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1939 Cadillac Limousine","Vintage Cars",1:18,"Studio M Art Models",6645,21,23.14,45.78,50.31
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1936 Chrysler Airflow","Vintage Cars",1:24,"Second Gear Diecast",4710,33,57.46,95.44,97.39
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",1:32,"Red Start Diecast",814,36,33.61,54.94,64.64
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Canadian Gift Exchange Network",Canada,BC,Vancouver,90300,10206,2003-12-05,2003-12-13,2003-12-08,Shipped,"1982 Camaro Z28","Classic Cars",1:18,"Carousel DieCast Legends",6934,33,46.53,89.01,101.15
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1962 LanciaA Delta 16V","Classic Cars",1:10,"Second Gear Diecast",6791,31,103.42,125.58,147.74
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1957 Chevy Pickup","Trucks and Buses",1:12,"Exoto Designs",6125,34,55.7,95.99,118.5
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1998 Chrysler Plymouth Prowler","Classic Cars",1:18,"Gearbox Collectibles",4724,44,101.51,140.81,163.73
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1964 Mercedes Tour Bus","Trucks and Buses",1:18,"Unimax Art Galleries",8258,43,74.86,109.23,122.73
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1926 Ford Fire Engine","Trucks and Buses",1:18,"Carousel DieCast Legends",2018,37,24.92,60.77,60.77
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1992 Ferrari 360 Spider red","Classic Cars",1:18,"Unimax Art Galleries",8347,25,77.9,140.55,169.34
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1970 Triumph Spitfire","Classic Cars",1:18,"Min Lin Diecast",5545,40,91.92,143.62,143.62
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1940s Ford truck","Trucks and Buses",1:18,"Motor City Art Classics",3128,47,84.76,119.87,121.08
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1970 Dodge Coronet","Classic Cars",1:24,"Highway 66 Mini Classics",4074,49,32.37,57.8,57.8
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1962 Volkswagen Microbus","Trucks and Buses",1:24,"Autoart Studio Design",2327,46,61.34,127.79,127.79
2,NA,USA,MA,Boston,"Julie Firrelli","Sales Rep",1143,"Diecast Collectables",USA,MA,Boston,85100,10207,2003-12-09,2003-12-17,2003-12-11,Shipped,"1958 Chevy Corvette Limited Edition","Classic Cars",1:24,"Carousel DieCast Legends",2542,42,15.91,30.76,35.36
